Strike	Nominal	Expiry	Mat
0.021551	 2.5767	 0.5	 1.0
0.021551	 2.5691	 0.5	 1.5
0.021551	 2.5618	 0.5	 2.0
0.021551	 1.1482	 0.5	 2.5
0.021551	 1.4066	 1.0	 2.5
0.021551	 2.5480	 1.0	 3.0
0.021551	 2.5416	 1.0	 3.5
0.021551	 2.5354	 1.0	 4.0
0.021551	 1.1489	 1.0	 4.5
0.021551	 1.3806	 1.5	 4.5
0.021551	 2.5238	 1.5	 5.0
0.021551	 2.5184	 1.5	 5.5
0.021551	 2.5134	 1.5	 6.0
0.021551	 0.1194	 1.5	 6.5
0.021551	 2.3892	 2.0	 6.5
0.021551	 2.5040	 2.0	 7.0
0.021551	 2.4998	 2.0	 7.5
0.021551	 0.6589	 2.0	 8.0
0.021551	 1.8370	 2.5	 8.0
0.021551	 2.4922	 2.5	 8.5
0.021551	 2.4887	 2.5	 9.0
0.021551	 0.3386	 2.5	 9.5
0.021551	 2.1470	 3.0	 9.5
0.021551	 2.4828	 3.0	 10.0
0.021551	 1.7281	 3.0	 10.5
0.021551	 0.7521	 3.5	 10.5
0.021551	 2.4779	 3.5	 11.0
0.021551	 2.4158	 3.5	 11.5
0.021551	 0.0601	 4.0	 11.5
0.021551	 2.4741	 4.0	 12.0
0.021551	 2.4727	 4.0	 12.5
0.021551	 0.0042	 4.0	 13.0
0.021551	 2.4673	 4.5	 13.0
0.021551	 1.9782	 4.5	 13.5
0.021551	 0.4924	 5.0	 13.5
0.021551	 2.4700	 5.0	 14.0
0.021551	 0.9793	 5.0	 14.5
0.021551	 1.4903	 5.5	 14.5
0.021551	 2.0027	 5.5	 15.0
0.021551	 0.4668	 6.0	 15.0
0.021551	 2.4697	 6.0	 15.5
0.021551	 0.1570	 6.0	 16.0
0.021551	 2.3132	 6.5	 16.0
0.021551	 0.4249	 6.5	 16.5
0.021551	 2.0461	 7.0	 16.5
0.021551	 0.3759	 7.0	 17.0
0.021551	 2.0961	 7.5	 17.0
0.021551	 0.0447	 7.5	 17.5
0.021551	 1.8910	 8.0	 17.5
0.021551	 0.5378	 8.5	 17.5
0.021551	 1.1312	 8.5	 18.0
0.021551	 1.3438	 9.0	 18.0
0.021551	 0.1279	 9.0	 18.5
0.021551	 1.2968	 9.5	 18.5
0.021551	 1.0522	 10.0	 18.5
0.021551	 0.0893	 10.0	 19.0
0.021551	 1.0038	 10.5	 19.0
0.021551	 0.8818	 11.0	 19.0
0.021551	 0.5041	 11.5	 19.0
0.021551	 0.2697	 11.5	 19.5
0.021551	 0.6781	 12.0	 19.5
0.021551	 0.5935	 12.5	 19.5
0.021551	 0.5187	 13.0	 19.5
0.021551	 0.4216	 13.5	 19.5
0.021551	 0.0310	 13.5	 20.0
0.021551	 0.3943	 14.0	 20.0
0.021551	 0.3429	 14.5	 20.0
0.021551	 0.2975	 15.0	 20.0
0.021551	 0.2576	 15.5	 20.0
0.021551	 0.2225	 16.0	 20.0
0.021551	 0.1917	 16.5	 20.0
0.021551	 0.1646	 17.0	 20.0
0.021551	 0.1409	 17.5	 20.0
0.021551	 0.1202	 18.0	 20.0
0.021551	 0.1020	 18.5	 20.0
0.021551	 0.0862	 19.0	 20.0
0.021551	 0.0724	 19.5	 20.0
