Strike	Nominal	Expiry	Mat
0.025830000000000002	 0.9929	 0.5	 1.0
0.025830000000000002	 1.6948	 1.0	 1.5
0.025830000000000002	 0.2468	 1.0	 2.0
0.025830000000000002	 1.4424	 1.5	 2.0
0.025830000000000002	 1.1576	 1.5	 2.5
0.025830000000000002	 0.5262	 2.0	 2.5
0.025830000000000002	 1.6787	 2.0	 3.0
0.025830000000000002	 0.3469	 2.0	 3.5
0.025830000000000002	 1.3269	 2.5	 3.5
0.025830000000000002	 1.1776	 2.5	 4.0
0.025830000000000002	 0.4915	 3.0	 4.0
0.025830000000000002	 1.6647	 3.0	 4.5
0.025830000000000002	 0.3021	 3.0	 5.0
0.025830000000000002	 1.3584	 3.5	 5.0
0.025830000000000002	 1.0544	 3.5	 5.5
0.025830000000000002	 0.6021	 4.0	 5.5
0.025830000000000002	 1.6528	 4.0	 6.0
0.025830000000000002	 0.1136	 4.0	 6.5
0.025830000000000002	 1.5357	 4.5	 6.5
0.025830000000000002	 0.7892	 4.5	 7.0
0.025830000000000002	 0.8569	 5.0	 7.0
0.025830000000000002	 1.4254	 5.0	 7.5
0.025830000000000002	 0.2176	 5.5	 7.5
0.025830000000000002	 1.6403	 5.5	 8.0
0.025830000000000002	 0.3827	 5.5	 8.5
0.025830000000000002	 1.2551	 6.0	 8.5
0.025830000000000002	 0.9446	 6.0	 9.0
0.025830000000000002	 0.6909	 6.5	 9.0
0.025830000000000002	 1.4687	 6.5	 9.5
0.025830000000000002	 0.1647	 7.0	 9.5
0.025830000000000002	 1.6316	 7.0	 10.0
0.025830000000000002	 0.3241	 7.0	 10.5
0.025830000000000002	 1.3060	 7.5	 10.5
0.025830000000000002	 0.7759	 7.5	 11.0
0.025830000000000002	 0.8528	 8.0	 11.0
0.025830000000000002	 1.1915	 8.0	 11.5
0.025830000000000002	 0.4362	 8.5	 11.5
0.025830000000000002	 1.5713	 8.5	 12.0
0.025830000000000002	 0.0556	 9.0	 12.0
0.025830000000000002	 1.6263	 9.0	 12.5
0.025830000000000002	 0.2895	 9.0	 13.0
0.025830000000000002	 1.3365	 9.5	 13.0
0.025830000000000002	 0.5995	 9.5	 13.5
0.025830000000000002	 1.0264	 10.0	 13.5
0.025830000000000002	 0.8750	 10.0	 14.0
0.025830000000000002	 0.7511	 10.5	 14.0
0.025830000000000002	 1.1163	 10.5	 14.5
0.025830000000000002	 0.5102	 11.0	 14.5
0.025830000000000002	 1.3240	 11.0	 15.0
0.025830000000000002	 0.3032	 11.5	 15.0
0.025830000000000002	 1.4985	 11.5	 15.5
0.025830000000000002	 0.1297	 12.0	 15.5
0.025830000000000002	 1.6294	 12.0	 16.0
0.025830000000000002	 0.0107	 12.0	 16.5
0.025830000000000002	 1.6201	 12.5	 16.5
0.025830000000000002	 0.1185	 12.5	 17.0
0.025830000000000002	 1.5141	 13.0	 17.0
0.025830000000000002	 0.1940	 13.0	 17.5
0.025830000000000002	 1.4406	 13.5	 17.5
0.025830000000000002	 0.2376	 13.5	 18.0
0.025830000000000002	 1.3992	 14.0	 18.0
0.025830000000000002	 0.2496	 14.0	 18.5
0.025830000000000002	 1.3898	 14.5	 18.5
0.025830000000000002	 0.2304	 14.5	 19.0
0.025830000000000002	 1.4118	 15.0	 19.0
0.025830000000000002	 0.1803	 15.0	 19.5
0.025830000000000002	 1.4649	 15.5	 19.5
0.025830000000000002	 0.0997	 15.5	 20.0
0.025830000000000002	 1.5376	 16.0	 20.0
0.025830000000000002	 0.0113	 16.5	 20.0
0.025830000000000002	 1.5000	 16.5	 20.5
0.025830000000000002	 0.1522	 17.0	 20.5
0.025830000000000002	 1.3332	 17.0	 21.0
0.025830000000000002	 0.3228	 17.5	 21.0
0.025830000000000002	 1.1373	 17.5	 21.5
0.025830000000000002	 0.5229	 18.0	 21.5
0.025830000000000002	 0.9125	 18.0	 22.0
0.025830000000000002	 0.7523	 18.5	 22.0
0.025830000000000002	 0.6589	 18.5	 22.5
0.025830000000000002	 1.0105	 19.0	 22.5
0.025830000000000002	 0.3769	 19.0	 23.0
0.025830000000000002	 1.2976	 19.5	 23.0
0.025830000000000002	 0.0667	 19.5	 23.5
0.025830000000000002	 1.3415	 20.0	 23.5
0.025830000000000002	 0.2716	 20.5	 23.5
0.025830000000000002	 1.0476	 20.5	 24.0
0.025830000000000002	 0.6378	 21.0	 24.0
0.025830000000000002	 0.6596	 21.0	 24.5
0.025830000000000002	 1.0316	 21.5	 24.5
0.025830000000000002	 0.2445	 21.5	 25.0
0.025830000000000002	 1.2552	 22.0	 25.0
0.025830000000000002	 0.1978	 22.5	 25.0
0.025830000000000002	 1.0370	 22.5	 25.5
0.025830000000000002	 0.6670	 23.0	 25.5
0.025830000000000002	 0.5478	 23.0	 26.0
0.025830000000000002	 1.1629	 23.5	 26.0
0.025830000000000002	 0.0323	 23.5	 26.5
0.025830000000000002	 1.1761	 24.0	 26.5
0.025830000000000002	 0.5095	 24.5	 26.5
0.025830000000000002	 0.6478	 24.5	 27.0
0.025830000000000002	 1.0774	 25.0	 27.0
0.025830000000000002	 0.0615	 25.0	 27.5
0.025830000000000002	 1.1210	 25.5	 27.5
0.025830000000000002	 0.5504	 26.0	 27.5
0.025830000000000002	 0.5530	 26.0	 28.0
0.025830000000000002	 1.0862	 26.5	 28.0
0.025830000000000002	 0.1018	 27.0	 28.0
0.025830000000000002	 0.9676	 27.0	 28.5
0.025830000000000002	 0.7817	 27.5	 28.5
0.025830000000000002	 0.2712	 27.5	 29.0
0.025830000000000002	 1.0368	 28.0	 29.0
0.025830000000000002	 0.4499	 28.5	 29.0
0.025830000000000002	 0.5712	 28.5	 29.5
0.025830000000000002	 1.0056	 29.0	 29.5
0.025830000000000002	 0.8004	 29.5	 30.0
