Strike	Nominal	Expiry	Mat
0.006188	 3.9615	 0.5	 1.0
0.006188	 1.8558	 0.5	 1.5
0.006188	 2.0544	 1.0	 1.5
0.006188	 3.8596	 1.0	 2.0
0.006188	 3.0467	 1.0	 2.5
0.006188	 0.7628	 1.5	 2.5
0.006188	 3.7599	 1.5	 3.0
0.006188	 3.6406	 1.5	 3.5
0.006188	 0.0702	 2.0	 3.5
0.006188	 3.6623	 2.0	 4.0
0.006188	 3.6143	 2.0	 4.5
0.006188	 0.0857	 2.0	 5.0
0.006188	 3.4812	 2.5	 5.0
0.006188	 3.2821	 2.5	 5.5
0.006188	 0.2378	 3.0	 5.5
0.006188	 3.4735	 3.0	 6.0
0.006188	 2.4391	 3.0	 6.5
0.006188	 0.9884	 3.5	 6.5
0.006188	 3.3822	 3.5	 7.0
0.006188	 1.2188	 3.5	 7.5
0.006188	 2.1184	 4.0	 7.5
0.006188	 2.9576	 4.0	 8.0
0.006188	 0.3352	 4.5	 8.0
0.006188	 3.2489	 4.5	 8.5
0.006188	 1.0224	 4.5	 9.0
0.006188	 2.1830	 5.0	 9.0
0.006188	 1.9942	 5.0	 9.5
0.006188	 1.1683	 5.5	 9.5
0.006188	 2.6164	 5.5	 10.0
0.006188	 0.5035	 6.0	 10.0
0.006188	 2.9226	 6.0	 10.5
0.006188	 0.1553	 6.5	 10.5
0.006188	 2.9434	 6.5	 11.0
0.006188	 0.0929	 7.0	 11.0
0.006188	 2.7069	 7.0	 11.5
0.006188	 0.2882	 7.5	 11.5
0.006188	 2.2389	 7.5	 12.0
0.006188	 0.7156	 8.0	 12.0
0.006188	 1.5628	 8.0	 12.5
0.006188	 1.3515	 8.5	 12.5
0.006188	 0.7003	 8.5	 13.0
0.006188	 1.8453	 9.0	 13.0
0.006188	 0.3289	 9.5	 13.0
0.006188	 1.3284	 9.5	 13.5
0.006188	 1.4863	 10.0	 13.5
0.006188	 0.0205	 10.5	 13.5
0.006188	 1.3103	 10.5	 14.0
0.006188	 1.1894	 11.0	 14.0
0.006188	 0.2966	 11.5	 14.0
0.006188	 0.7644	 11.5	 14.5
0.006188	 0.9446	 12.0	 14.5
0.006188	 0.8390	 12.5	 14.5
0.006188	 0.2099	 13.0	 14.5
0.006188	 0.5334	 13.0	 15.0
0.006188	 0.6567	 13.5	 15.0
0.006188	 0.5783	 14.0	 15.0
0.006188	 0.5076	 14.5	 15.0
