Strike	Nominal	Expiry	Mat
0.0004985	 4.2023	 0.5	 1.0
0.0004985	 4.1294	 0.5	 1.5
0.0004985	 0.3704	 0.5	 2.0
0.0004985	 3.6871	 1.0	 2.0
0.0004985	 3.9867	 1.0	 2.5
0.0004985	 3.7102	 1.0	 3.0
0.0004985	 0.2067	 1.5	 3.0
0.0004985	 3.8480	 1.5	 3.5
0.0004985	 3.7801	 1.5	 4.0
0.0004985	 2.1437	 1.5	 4.5
0.0004985	 1.5695	 2.0	 4.5
0.0004985	 3.6472	 2.0	 5.0
0.0004985	 3.5237	 2.0	 5.5
0.0004985	 0.0585	 2.5	 5.5
0.0004985	 3.5180	 2.5	 6.0
0.0004985	 3.4548	 2.5	 6.5
0.0004985	 0.6185	 2.5	 7.0
0.0004985	 2.7740	 3.0	 7.0
0.0004985	 3.3311	 3.0	 7.5
0.0004985	 0.5849	 3.0	 8.0
0.0004985	 2.6856	 3.5	 8.0
0.0004985	 3.1598	 3.5	 8.5
0.0004985	 0.0510	 4.0	 8.5
0.0004985	 3.1520	 4.0	 9.0
0.0004985	 1.8999	 4.0	 9.5
0.0004985	 1.1941	 4.5	 9.5
0.0004985	 3.0368	 4.5	 10.0
0.0004985	 0.2194	 4.5	 10.5
0.0004985	 2.7611	 5.0	 10.5
0.0004985	 1.1160	 5.0	 11.0
0.0004985	 1.8090	 5.5	 11.0
0.0004985	 1.5650	 5.5	 11.5
0.0004985	 1.3052	 6.0	 11.5
0.0004985	 1.6275	 6.0	 12.0
0.0004985	 1.1887	 6.5	 12.0
0.0004985	 1.3571	 6.5	 12.5
0.0004985	 1.4060	 7.0	 12.5
0.0004985	 0.8011	 7.0	 13.0
0.0004985	 1.9096	 7.5	 13.0
0.0004985	 0.0008	 7.5	 13.5
0.0004985	 1.6511	 8.0	 13.5
0.0004985	 1.0071	 8.5	 13.5
0.0004985	 0.4174	 8.5	 14.0
0.0004985	 1.2267	 9.0	 14.0
0.0004985	 0.9641	 9.5	 14.0
0.0004985	 0.0901	 9.5	 14.5
0.0004985	 0.9038	 10.0	 14.5
0.0004985	 0.7730	 10.5	 14.5
0.0004985	 0.6593	 11.0	 14.5
0.0004985	 0.1319	 11.5	 14.5
0.0004985	 0.4287	 11.5	 15.0
0.0004985	 0.4750	 12.0	 15.0
0.0004985	 0.4009	 12.5	 15.0
0.0004985	 0.3369	 13.0	 15.0
0.0004985	 0.2817	 13.5	 15.0
0.0004985	 0.2341	 14.0	 15.0
0.0004985	 0.1932	 14.5	 15.0
