Strike	Nominal	Expiry	Mat
0.0098585	 1.9689	 0.5	 1.0
0.0098585	 2.4902	 1.0	 1.5
0.0098585	 1.3072	 1.0	 2.0
0.0098585	 1.1577	 1.5	 2.0
0.0098585	 2.4399	 1.5	 2.5
0.0098585	 0.5860	 1.5	 3.0
0.0098585	 1.8291	 2.0	 3.0
0.0098585	 2.1993	 2.0	 3.5
0.0098585	 0.1913	 2.5	 3.5
0.0098585	 2.3663	 2.5	 4.0
0.0098585	 1.3210	 2.5	 4.5
0.0098585	 1.0212	 3.0	 4.5
0.0098585	 2.3185	 3.0	 5.0
0.0098585	 0.3941	 3.0	 5.5
0.0098585	 1.9008	 3.5	 5.5
0.0098585	 1.6931	 3.5	 6.0
0.0098585	 0.5785	 4.0	 6.0
0.0098585	 2.2485	 4.0	 6.5
0.0098585	 0.6319	 4.0	 7.0
0.0098585	 1.5938	 4.5	 7.0
0.0098585	 1.7346	 4.5	 7.5
0.0098585	 0.4685	 5.0	 7.5
0.0098585	 2.1807	 5.0	 8.0
0.0098585	 0.5533	 5.0	 8.5
0.0098585	 1.6052	 5.5	 8.5
0.0098585	 1.4755	 5.5	 9.0
0.0098585	 0.6610	 6.0	 9.0
0.0098585	 2.1148	 6.0	 9.5
0.0098585	 0.1873	 6.0	 10.0
0.0098585	 1.9060	 6.5	 10.0
0.0098585	 0.9437	 6.5	 10.5
0.0098585	 1.1283	 7.0	 10.5
0.0098585	 1.6118	 7.0	 11.0
0.0098585	 0.4391	 7.5	 11.0
0.0098585	 2.0300	 7.5	 11.5
0.0098585	 0.1652	 7.5	 12.0
0.0098585	 1.8441	 8.0	 12.0
0.0098585	 0.6880	 8.0	 12.5
0.0098585	 1.3009	 8.5	 12.5
0.0098585	 1.1326	 8.5	 13.0
0.0098585	 0.8360	 9.0	 13.0
0.0098585	 1.5024	 9.0	 13.5
0.0098585	 0.4462	 9.5	 13.5
0.0098585	 1.8002	 9.5	 14.0
0.0098585	 0.1285	 10.0	 14.0
0.0098585	 1.9091	 10.0	 14.5
0.0098585	 0.1202	 10.0	 15.0
0.0098585	 1.7694	 10.5	 15.0
0.0098585	 0.3028	 10.5	 15.5
0.0098585	 1.5675	 11.0	 15.5
0.0098585	 0.4221	 11.0	 16.0
0.0098585	 1.4292	 11.5	 16.0
0.0098585	 0.4807	 11.5	 16.5
0.0098585	 1.3516	 12.0	 16.5
0.0098585	 0.4814	 12.0	 17.0
0.0098585	 1.3323	 12.5	 17.0
0.0098585	 0.4265	 12.5	 17.5
0.0098585	 1.3687	 13.0	 17.5
0.0098585	 0.3186	 13.0	 18.0
0.0098585	 1.4583	 13.5	 18.0
0.0098585	 0.1599	 13.5	 18.5
0.0098585	 1.5516	 14.0	 18.5
0.0098585	 0.0472	 14.5	 18.5
0.0098585	 1.4402	 14.5	 19.0
0.0098585	 0.3006	 15.0	 19.0
0.0098585	 1.1249	 15.0	 19.5
0.0098585	 0.5981	 15.5	 19.5
0.0098585	 0.7676	 15.5	 20.0
0.0098585	 0.9378	 16.0	 20.0
0.0098585	 0.3704	 16.0	 20.5
0.0098585	 1.2526	 16.5	 20.5
0.0098585	 0.0650	 17.0	 20.5
0.0098585	 1.1341	 17.0	 21.0
0.0098585	 0.5366	 17.5	 21.0
0.0098585	 0.6109	 17.5	 21.5
0.0098585	 1.0428	 18.0	 21.5
0.0098585	 0.0550	 18.0	 22.0
0.0098585	 1.0499	 18.5	 22.0
0.0098585	 0.5318	 19.0	 22.0
0.0098585	 0.4719	 19.0	 22.5
0.0098585	 0.9592	 19.5	 22.5
0.0098585	 0.1889	 20.0	 22.5
0.0098585	 0.7274	 20.0	 23.0
0.0098585	 0.8751	 20.5	 23.0
0.0098585	 0.0010	 21.0	 23.0
0.0098585	 0.8344	 21.0	 23.5
0.0098585	 0.7527	 21.5	 23.5
0.0098585	 0.0443	 21.5	 24.0
0.0098585	 0.7601	 22.0	 24.0
0.0098585	 0.7246	 22.5	 24.0
0.0098585	 0.0418	 23.0	 24.0
0.0098585	 0.6487	 23.0	 24.5
0.0098585	 0.6575	 23.5	 24.5
0.0098585	 0.2485	 24.0	 24.5
0.0098585	 0.3773	 24.0	 25.0
0.0098585	 0.5954	 24.5	 25.0
