Strike	Nominal	Expiry	Mat
0.00812	 3.0696	 0.5	 1.0
0.00812	 0.8454	 0.5	 1.5
0.00812	 2.1893	 1.0	 1.5
0.00812	 3.0003	 1.0	 2.0
0.00812	 1.3937	 1.0	 2.5
0.00812	 1.5725	 1.5	 2.5
0.00812	 2.9324	 1.5	 3.0
0.00812	 1.6674	 1.5	 3.5
0.00812	 1.2316	 2.0	 3.5
0.00812	 2.8659	 2.0	 4.0
0.00812	 1.6879	 2.0	 4.5
0.00812	 1.1453	 2.5	 4.5
0.00812	 2.8008	 2.5	 5.0
0.00812	 1.4750	 2.5	 5.5
0.00812	 1.2938	 3.0	 5.5
0.00812	 2.7370	 3.0	 6.0
0.00812	 1.0474	 3.0	 6.5
0.00812	 1.6582	 3.5	 6.5
0.00812	 2.6745	 3.5	 7.0
0.00812	 0.4228	 3.5	 7.5
0.00812	 2.2210	 4.0	 7.5
0.00812	 2.2308	 4.0	 8.0
0.00812	 0.3824	 4.5	 8.0
0.00812	 2.5831	 4.5	 8.5
0.00812	 1.2005	 4.5	 9.0
0.00812	 1.3528	 5.0	 9.0
0.00812	 2.5238	 5.0	 9.5
0.00812	 0.0207	 5.0	 10.0
0.00812	 2.4738	 5.5	 10.0
0.00812	 1.1707	 5.5	 10.5
0.00812	 1.2949	 6.0	 10.5
0.00812	 2.1120	 6.0	 11.0
0.00812	 0.3250	 6.5	 11.0
0.00812	 2.4087	 6.5	 11.5
0.00812	 0.4498	 6.5	 12.0
0.00812	 1.9309	 7.0	 12.0
0.00812	 1.0426	 7.0	 12.5
0.00812	 1.3103	 7.5	 12.5
0.00812	 1.4657	 7.5	 13.0
0.00812	 0.8597	 8.0	 13.0
0.00812	 1.7309	 8.0	 13.5
0.00812	 0.5673	 8.5	 13.5
0.00812	 1.8491	 8.5	 14.0
0.00812	 0.4222	 9.0	 14.0
0.00812	 1.8306	 9.0	 14.5
0.00812	 0.4141	 9.5	 14.5
0.00812	 1.6851	 9.5	 15.0
0.00812	 0.5333	 10.0	 15.0
0.00812	 1.4217	 10.0	 15.5
0.00812	 0.7705	 10.5	 15.5
0.00812	 1.0491	 10.5	 16.0
0.00812	 1.1173	 11.0	 16.0
0.00812	 0.5754	 11.0	 16.5
0.00812	 1.5655	 11.5	 16.5
0.00812	 0.0081	 11.5	 17.0
0.00812	 1.4619	 12.0	 17.0
0.00812	 0.6457	 12.5	 17.0
0.00812	 0.7115	 12.5	 17.5
0.00812	 1.2591	 13.0	 17.5
0.00812	 0.1200	 13.5	 17.5
0.00812	 1.0471	 13.5	 18.0
0.00812	 1.0188	 14.0	 18.0
0.00812	 0.0622	 14.0	 18.5
0.00812	 1.0003	 14.5	 18.5
0.00812	 0.9248	 15.0	 18.5
0.00812	 0.0539	 15.5	 18.5
0.00812	 0.8003	 15.5	 19.0
0.00812	 0.7881	 16.0	 19.0
0.00812	 0.4287	 16.5	 19.0
0.00812	 0.2977	 16.5	 19.5
0.00812	 0.6686	 17.0	 19.5
0.00812	 0.6146	 17.5	 19.5
0.00812	 0.4121	 18.0	 19.5
0.00812	 0.1521	 18.0	 20.0
0.00812	 0.5172	 18.5	 20.0
0.00812	 0.4733	 19.0	 20.0
0.00812	 0.4324	 19.5	 20.0
